gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div
FASN	27	35	1	0	978.45	1956.9	15	1	0.444444444444444	-Inf	1	-0.564516129032258	1	62
FASTKD1	14	13	1	0	285.12	570.24	15	1	1	-Inf	1	-0.481481481481482	1	27
FASTKD2	10	12	0	1	206.58	413.16	15	1	1	1	1	0.454545454545455	1	22
FASTKD3	9	10	2	2	230.01	460.02	15	1	1	-0.111111111111111	1	-0.0263157894736842	4	19
FAT1	23	63	5	6	1687.29	3374.58	15	1	0.2871649943852	-1.28260869565217	1	-0.187103594080338	11	86
FAT2	21	65	10	11	1238.49	2476.98	15	1	0.0579292898531015	-1.81385281385281	1	-0.232004429678848	21	86
FAT4	18	66	4	12	912.45	1824.9	15	1	0.747697992586533	-0.222222222222222	1	-0.0357142857142857	16	84
FAXC	2	4	0	0	127.71	255.42	15	1	1	NA	1	NA	0	6
FAXDC2	3	4	2	1	95.7	191.4	15	1	1	-1.66666666666667	1	-0.238095238095238	3	7
FBLIM1	1	1	1	0	31.02	62.04	15	1	1	-Inf	1	-0.5	1	2
FBLN1	7	9	2	0	276.54	553.08	15	1	0.470588235294118	-Inf	1	-0.5625	2	16
FBLN2	2	13	2	3	244.86	489.72	15	1	0.248710010319917	-3.33333333333333	1	-0.266666666666667	5	15
FBLN5	1	4	0	2	137.61	275.22	15	1	1	1	1	0.2	2	5
FBLN7	0	1	0	1	40.26	80.52	15	1	1	NA	1	0	1	1
FBN3	4	48	3	16	1019.7	2039.4	15	1	0.374960636332893	-1.25	1	-0.0809716599190283	19	52
FBRSL1	0	5	0	0	273.57	547.14	15	1	1	NA	1	NA	0	5
FBXL14	0	3	0	3	75.9	151.8	15	1	1	NA	1	0	3	3
FBXL17	3	5	0	0	89.43	178.86	15	1	1	NA	1	NA	0	8
FBXL18	0	13	0	2	167.97	335.94	15	1	1	NA	1	0	2	13
FBXL2	0	4	0	0	67.32	134.64	15	1	1	NA	1	NA	0	4
FBXL21	2	7	1	1	165.33	330.66	15	1	0.490909090909091	-2.5	1	-0.277777777777778	2	9
FBXL3	0	6	0	2	110.88	221.76	15	1	1	NA	1	0	2	6
FBXL4	1	5	1	1	150.48	300.96	15	1	0.464285714285714	-4	1	-0.333333333333333	2	6
FBXL5	5	5	2	1	244.2	488.4	15	1	1	-1	1	-0.166666666666667	3	10
FBXL7	0	5	0	1	108.57	217.14	15	1	1	NA	1	0	1	5
FBXL8	7	7	3	1	98.67	197.34	15	1	0.588235294117647	-2	1	-0.25	4	14
FBXO15	0	7	0	2	103.95	207.9	15	1	1	NA	1	0	2	7
FBXO16	3	4	1	1	134.97	269.94	15	1	1	-0.333333333333333	1	-0.0714285714285715	2	7
FBXO18	3	4	0	1	25.74	51.48	15	1	1	1	1	0.428571428571429	1	7
FBXO2	0	8	0	1	87.78	175.56	15	1	1	NA	1	0	1	8
FBXO21	0	8	0	2	142.89	285.78	15	1	1	NA	1	0	2	8
FBXO22	0	9	0	0	128.37	256.74	15	1	1	NA	1	NA	0	9
FBXO25	0	2	0	1	114.18	228.36	15	1	1	NA	1	0	1	2
FBXO28	0	2	0	0	66	132	15	1	1	NA	1	NA	0	2
FBXO3	0	7	0	0	126.72	253.44	15	1	1	NA	1	NA	0	7
FBXO30	2	12	1	1	274.23	548.46	15	1	0.35	-5	1	-0.357142857142857	2	14
FBXO31	2	6	0	1	114.84	229.68	15	1	1	1	1	0.25	1	8
FBXO32	0	8	0	3	124.41	248.82	15	1	1	NA	1	0	3	8
FBXO33	0	3	0	1	130.68	261.36	15	1	1	NA	1	0	1	3
FBXO34	4	14	1	6	178.53	357.06	15	1	1	0.416666666666667	1	0.0793650793650794	7	18
FBXO38	7	9	0	0	393.03	786.06	15	1	1	NA	1	NA	0	16
FBXO39	3	6	0	1	191.73	383.46	15	1	1	1	1	0.333333333333333	1	9
FBXO4	3	6	0	2	93.06	186.12	15	1	1	1	1	0.333333333333333	2	9
FBXO41	2	6	1	5	113.19	226.38	15	1	1	0.4	1	0.0833333333333333	6	8
FBXO42	4	2	0	1	39.93	79.86	15	1	0.428571428571429	1	1	0.666666666666667	1	6
FBXO43	8	14	0	0	214.5	429	15	1	1	NA	1	NA	0	22
FBXO45	1	0	1	0	22.44	44.88	15	1	1	NA	1	0	1	1
FBXO47	1	1	0	0	136.62	273.24	15	1	1	NA	1	NA	0	2
FBXO48	1	3	1	0	31.35	62.7	15	1	0.4	-Inf	1	-0.75	1	4
FBXO5	11	7	1	0	169.62	339.24	15	1	1	-Inf	1	-0.388888888888889	1	18
FBXO6	4	3	1	0	69.3	138.6	15	1	1	-Inf	1	-0.428571428571429	1	7
FBXO7	0	3	0	0	138.93	277.86	15	1	1	NA	1	NA	0	3
FBXO8	0	2	0	0	110.55	221.1	15	1	1	NA	1	NA	0	2
FBXO9	1	4	0	1	126.39	252.78	15	1	1	1	1	0.2	1	5
FBXW11	0	12	0	4	193.71	387.42	15	1	1	NA	1	0	4	12
FBXW2	1	12	0	1	223.08	446.16	15	1	1	1	1	0.0769230769230769	1	13
FBXW4	0	5	0	1	88.44	176.88	15	1	1	NA	1	0	1	5
FBXW5	1	12	0	0	145.86	291.72	15	1	1	NA	1	NA	0	13
FBXW7	0	4	0	0	161.37	322.74	15	1	1	NA	1	NA	0	4
FBXW8	1	3	0	0	159.06	318.12	15	1	1	NA	1	NA	0	4
FCER2	4	2	0	0	58.41	116.82	15	1	1	NA	1	NA	0	6
FCGBP	22	33	3	3	808.83	1617.66	15	1	0.681740088116834	-0.5	1	-0.1	6	55
FCGBPL	29	22	7	5	295.68	591.36	15	1	1	-0.0620689655172413	1	-0.0147058823529412	12	51
FCHO2	1	3	0	0	119.79	239.58	15	1	1	NA	1	NA	0	4
FCN2-LOC112531347	3	3	0	0	51.81	103.62	15	1	1	NA	1	NA	0	6
FDFT1	3	6	0	2	86.46	172.92	15	1	1	1	1	0.333333333333333	2	9
FDPS	0	8	0	0	83.82	167.64	15	1	1	NA	1	NA	0	8
FDX1L	1	3	0	0	63.36	126.72	15	1	1	NA	1	NA	0	4
FDXR	1	5	1	1	85.8	171.6	15	1	0.464285714285714	-4	1	-0.333333333333333	2	6
FEM1A	0	14	0	5	180.51	361.02	15	1	1	NA	1	0	5	14
FEM1B	2	13	1	5	196.35	392.7	15	1	1	-0.3	1	-0.0333333333333333	6	15
FEM1C	0	3	0	0	103.29	206.58	15	1	1	NA	1	NA	0	3
FEN1	0	5	0	2	81.51	163.02	15	1	1	NA	1	0	2	5
FER	3	0	0	0	44.55	89.1	15	1	1	NA	1	NA	0	3
FER1L4	21	27	7	5	472.89	945.78	15	1	0.519640652450366	-0.8	1	-0.145833333333333	12	48
FER1L6	24	23	7	4	648.45	1296.9	15	1	0.518054292223344	-0.677083333333333	1	-0.125725338491296	11	47
FERMT1	1	11	0	2	213.84	427.68	15	1	1	1	1	0.0833333333333333	2	12
FERMT2	1	4	0	1	167.31	334.62	15	1	1	1	1	0.2	1	5
FETUB	11	6	2	0	134.31	268.62	15	1	1	-Inf	1	-0.352941176470588	2	17
FEZ1	1	2	0	0	49.17	98.34	15	1	1	NA	1	NA	0	3
FEZ2	1	1	1	0	75.24	150.48	15	1	1	-Inf	1	-0.5	1	2
FEZF1	0	2	0	0	30.69	61.38	15	1	1	NA	1	NA	0	2
FFAR4	2	2	0	0	73.92	147.84	15	1	1	NA	1	NA	0	4
FGA	8	12	0	1	304.92	609.84	15	1	1	1	1	0.4	1	20
FGB	0	8	0	1	162.69	325.38	15	1	1	NA	1	0	1	8
FGD4	5	5	1	0	259.38	518.76	15	1	1	-Inf	1	-0.5	1	10
FGD5	29	32	1	3	635.91	1271.82	15	1	0.617710918114144	0.632183908045977	1	0.225409836065574	4	61
FGD6	14	14	2	1	477.51	955.02	15	1	1	-1	1	-0.166666666666667	3	28
FGF12	2	1	2	0	80.52	161.04	15	1	1	-Inf	1	-0.333333333333333	2	3
FGF13	2	0	0	0	36.63	73.26	15	1	1	NA	1	NA	0	2
FGF14	0	2	0	1	56.1	112.2	15	1	1	NA	1	0	1	2
FGF18	0	2	0	0	38.28	76.56	15	1	1	NA	1	NA	0	2
FGF19	0	2	0	0	24.42	48.84	15	1	1	NA	1	NA	0	2
FGF2	0	2	0	0	40.59	81.18	15	1	1	NA	1	NA	0	2
FGF20	1	1	0	0	39.6	79.2	15	1	1	NA	1	NA	0	2
FGF3	1	1	0	0	32.67	65.34	15	1	1	NA	1	NA	0	2
FGF4	0	1	0	1	39.27	78.54	15	1	1	NA	1	0	1	1
FGF8	0	1	0	1	16.83	33.66	15	1	1	NA	1	0	1	1
FGFBP1	3	3	1	1	57.42	114.84	15	1	1	0	1	0	2	6
FGFBP2	0	4	0	0	55.77	111.54	15	1	1	NA	1	NA	0	4
FGFR1	0	5	0	4	85.47	170.94	15	1	1	NA	1	0	4	5
FGFR1OP	1	3	0	0	126.39	252.78	15	1	1	NA	1	NA	0	4
FGFR2	0	10	0	2	252.12	504.24	15	1	1	NA	1	0	2	10
FGFR3	1	13	1	1	267.3	534.6	15	1	0.241666666666667	-12	1	-0.428571428571429	2	14
FGFRL1	1	9	0	3	134.64	269.28	15	1	1	1	1	0.1	3	10
FGG	3	11	1	1	173.25	346.5	15	1	0.45	-2.66666666666667	1	-0.285714285714286	2	14
FGGY	3	5	1	0	156.75	313.5	15	1	0.444444444444444	-Inf	1	-0.625	1	8
FGL1L	17	7	5	1	113.52	227.04	15	1	1	-1.05882352941176	1	-0.125	6	24
FGL2	4	2	2	1	124.08	248.16	15	1	1	0	1	0	3	6
FH	0	3	0	1	141.57	283.14	15	1	1	NA	1	0	1	3
FHAD1-LOC112529958	19	19	6	7	278.52	557.04	15	1	1	0.142857142857143	1	0.0384615384615384	13	38
FHDC1	13	18	2	0	352.11	704.22	15	1	0.198863636363636	-Inf	1	-0.580645161290323	2	31
FHL1	3	3	0	1	167.97	335.94	15	1	1	1	1	0.5	1	6
FHL2	1	3	1	0	82.5	165	15	1	0.4	-Inf	1	-0.75	1	4
FHL3	0	4	0	1	66.66	133.32	15	1	1	NA	1	0	1	4
FHL5	4	4	1	0	101.31	202.62	15	1	1	-Inf	1	-0.5	1	8
FHOD3	2	7	0	1	334.95	669.9	15	1	1	1	1	0.222222222222222	1	9
FIBCD1	0	3	0	1	40.26	80.52	15	1	1	NA	1	0	1	3
FICD	1	5	1	0	68.64	137.28	15	1	0.285714285714286	-Inf	1	-0.833333333333333	1	6
FIG4	2	10	1	0	285.45	570.9	15	1	0.230769230769231	-Inf	1	-0.833333333333333	1	12
FIGN	0	9	0	0	248.16	496.32	15	1	1	NA	1	NA	0	9
FIGNL2	1	6	1	5	76.23	152.46	15	1	1	-0.2	1	-0.0238095238095238	6	7
FILIP1	2	9	1	2	358.71	717.42	15	1	1	-1.25	1	-0.151515151515151	3	11
FILIP1L	1	4	1	0	78.21	156.42	15	1	0.333333333333333	-Inf	1	-0.8	1	5
FIP1L1	1	3	1	0	148.5	297	15	1	0.4	-Inf	1	-0.75	1	4
FKBP10	3	2	0	0	72.93	145.86	15	1	1	NA	1	NA	0	5
FKBP14	2	7	0	7	81.84	163.68	15	1	0.475	1	1	0.222222222222222	7	9
FKBP15	9	26	1	7	362.01	724.02	15	1	0.656292179204679	0.587301587301587	1	0.132142857142857	8	35
FKBP1B	0	1	0	1	21.45	42.9	15	1	1	NA	1	0	1	1
FKBP1C	0	2	0	1	18.15	36.3	15	1	1	NA	1	0	1	2
FKBP4	2	6	1	0	152.13	304.26	15	1	0.333333333333333	-Inf	1	-0.75	1	8
FKBP5	2	5	0	0	101.31	202.62	15	1	1	NA	1	NA	0	7
FKBP6	1	3	0	0	98.34	196.68	15	1	1	NA	1	NA	0	4
FKBP8	0	2	0	2	21.78	43.56	15	1	1	NA	1	0	2	2
FKBP9	1	12	1	1	172.59	345.18	15	1	0.257142857142857	-11	1	-0.423076923076923	2	13
FLAD1	1	1	1	1	44.88	89.76	15	1	1	0	1	0	2	2
FLCN	0	5	0	1	239.25	478.5	15	1	1	NA	1	0	1	5
FLII	0	9	0	6	66.33	132.66	15	1	1	NA	1	0	6	9
FLNB	4	49	2	8	953.7	1907.4	15	1	0.239768431535024	-2.0625	1	-0.124528301886792	10	53
FLOT1	0	1	0	1	10.89	21.78	15	1	1	NA	1	0	1	1
FLOT2	1	2	0	1	86.79	173.58	15	1	1	1	1	0.333333333333333	1	3
FLRT2	5	9	0	2	260.37	520.74	15	1	1	1	1	0.357142857142857	2	14
FLRT3	2	10	1	3	219.45	438.9	15	1	1	-0.666666666666667	1	-0.0833333333333333	4	12
FLT1	7	15	5	4	284.46	568.92	15	1	0.253449801154013	-1.67857142857143	1	-0.237373737373737	9	22
FLT3	7	23	1	4	311.19	622.38	15	1	1	0.178571428571429	1	0.0333333333333333	5	30
FLT4	2	17	0	4	391.71	783.42	15	1	1	1	1	0.105263157894737	4	19
FLVCR1	1	5	0	3	142.56	285.12	15	1	1	1	1	0.166666666666667	3	6
FLVCR2	7	4	1	1	112.86	225.72	15	1	1	0.428571428571429	1	0.136363636363636	2	11
FMN1	5	16	0	0	271.59	543.18	15	1	1	NA	1	NA	0	21
FMNL1	3	5	2	3	142.56	285.12	15	1	1	-0.111111111111111	1	-0.025	5	8
FMO3	3	13	2	3	113.85	227.7	15	1	0.552803577571379	-1.88888888888889	1	-0.2125	5	16
FMOD	1	3	1	2	72.27	144.54	15	1	1	-0.5	1	-0.0833333333333333	3	4
FN1	5	38	0	5	809.49	1618.98	15	1	1	1	1	0.116279069767442	5	43
FN3K	2	3	0	1	95.37	190.74	15	1	1	1	1	0.4	1	5
FN3KRP	1	3	1	0	94.05	188.1	15	1	0.4	-Inf	1	-0.75	1	4
FNBP1	3	11	0	4	179.85	359.7	15	1	1	1	1	0.214285714285714	4	14
FNBP4	2	3	1	3	81.18	162.36	15	1	1	0.5	1	0.15	4	5
FNDC1	17	26	2	4	619.41	1238.82	15	1	1	0.235294117647059	1	0.062015503875969	6	43
FNDC3A	0	13	0	2	394.02	788.04	15	1	1	NA	1	0	2	13
FNDC3AL	2	21	0	4	342.54	685.08	15	1	1	1	1	0.0869565217391304	4	23
FNDC3B	1	11	0	3	398.64	797.28	15	1	1	1	1	0.0833333333333333	3	12
FNDC4	3	1	0	0	97.02	194.04	15	1	1	NA	1	NA	0	4
FNDC5	0	2	0	0	58.08	116.16	15	1	1	NA	1	NA	0	2
FNDC7	13	7	1	0	198.66	397.32	15	1	1	-Inf	1	-0.35	1	20
FNIP1	9	23	4	3	374.22	748.44	15	1	0.193837800648946	-2.40740740740741	1	-0.290178571428571	7	32
FNIP2	10	20	0	1	330.66	661.32	15	1	1	1	1	0.333333333333333	1	30
FNTA	1	9	1	1	71.94	143.88	15	1	0.318181818181818	-8	1	-0.4	2	10
FOCAD	18	16	3	1	462	924	15	1	0.613086770981508	-1.66666666666667	1	-0.220588235294118	4	34
FOLH1	2	6	0	0	204.6	409.2	15	1	1	NA	1	NA	0	8
FOPNL	1	2	0	0	41.91	83.82	15	1	1	NA	1	NA	0	3
FOS	0	5	0	1	30.36	60.72	15	1	1	NA	1	0	1	5
FOSL2	0	1	0	1	58.08	116.16	15	1	1	NA	1	0	1	1
FOXA2	0	3	0	1	48.51	97.02	15	1	1	NA	1	0	1	3
FOXD3	0	1	0	1	16.17	32.34	15	1	1	NA	1	0	1	1
FOXE3	0	2	0	0	25.74	51.48	15	1	1	NA	1	NA	0	2
FOXI1	3	5	0	1	140.25	280.5	15	1	1	1	1	0.375	1	8
FOXI3	2	2	1	1	77.22	154.44	15	1	1	0	1	0	2	4
FOXJ1	1	12	0	8	94.71	189.42	15	1	1	1	1	0.0769230769230769	8	13
FOXJ2	2	2	0	0	155.1	310.2	15	1	1	NA	1	NA	0	4
FOXK1	2	3	2	1	171.6	343.2	15	1	1	-2	1	-0.266666666666667	3	5
FOXK2	3	6	1	3	188.76	377.52	15	1	1	0.333333333333333	1	0.0833333333333333	4	9
FOXM1	5	7	2	2	261.03	522.06	15	1	1	-0.4	1	-0.0833333333333333	4	12
FOXN1	4	5	1	1	157.74	315.48	15	1	1	-0.25	1	-0.0555555555555556	2	9
FOXN2	0	6	0	0	135.3	270.6	15	1	1	NA	1	NA	0	6
FOXN3	8	2	0	0	116.49	232.98	15	1	1	NA	1	NA	0	10
FOXN4	2	5	2	3	120.78	241.56	15	1	1	-0.666666666666667	1	-0.114285714285714	5	7
FOXO1	1	2	0	1	156.09	312.18	15	1	1	1	1	0.333333333333333	1	3
FOXO3	2	7	0	3	178.2	356.4	15	1	1	1	1	0.222222222222222	3	9
FOXO4	5	8	1	2	108.24	216.48	15	1	1	0.2	1	0.0512820512820513	3	13
FOXP1	2	3	0	2	201.3	402.6	15	1	1	1	1	0.4	2	5
FOXP2	0	4	0	0	155.76	311.52	15	1	1	NA	1	NA	0	4
FPGT	9	11	1	1	191.4	382.8	15	1	1	-0.222222222222222	1	-0.05	2	20
FRA10AC1	2	4	1	2	76.89	153.78	15	1	1	0	1	0	3	6
FRAS1	34	73	9	7	1299.21	2598.42	15	1	0.0888953154562983	-1.76050420168067	1	-0.244742990654206	16	107
FREM1	25	17	2	1	467.28	934.56	15	1	1	-0.36	1	-0.0714285714285714	3	42
FREM2	19	55	5	2	1021.35	2042.7	15	1	0.0218147066248332	-6.23684210526316	1	-0.457528957528958	7	74
FREM3	11	27	2	2	435.27	870.54	15	1	0.575609756097561	-1.45454545454545	1	-0.210526315789474	4	38
FRG1	0	6	0	1	56.43	112.86	15	1	1	NA	1	0	1	6
FRK	1	6	0	1	138.6	277.2	15	1	1	1	1	0.142857142857143	1	7
FRMD1	5	9	2	1	252.12	504.24	15	1	0.536764705882353	-2.6	1	-0.309523809523809	3	14
FRMD3	0	4	0	0	80.52	161.04	15	1	1	NA	1	NA	0	4
FRMD4A	0	10	0	0	261.03	522.06	15	1	1	NA	1	NA	0	10
FRMD4B	4	10	2	2	307.23	614.46	15	1	0.568627450980392	-1.5	1	-0.214285714285714	4	14
FRMD5	1	3	1	2	109.23	218.46	15	1	1	-0.5	1	-0.0833333333333333	3	4
FRMD7	6	2	5	0	116.49	232.98	15	1	0.487179487179487	-Inf	1	-0.25	5	8
FRMPD1	17	23	1	3	465.63	931.26	15	1	0.633704355769018	0.549019607843137	1	0.175	4	40
FRMPD2	28	24	5	7	672.21	1344.42	15	1	0.530679519550973	0.387755102040816	1	0.121794871794872	12	52
FRMPD3	21	25	4	6	405.57	811.14	15	1	1	0.206349206349206	1	0.0565217391304347	10	46
FRMPD4	9	12	3	2	531.63	1063.26	15	1	0.634782608695652	-1	1	-0.171428571428571	5	21
FRRS1	9	10	3	2	190.74	381.48	15	1	1	-0.666666666666667	1	-0.126315789473684	5	19
FRRS1L	0	3	0	1	68.97	137.94	15	1	1	NA	1	0	1	3
FRS2	0	4	0	0	159.72	319.44	15	1	1	NA	1	NA	0	4
FRS3	1	3	0	3	83.82	167.64	15	1	1	1	1	0.25	3	4
FRY	0	32	0	8	933.57	1867.14	15	1	1	NA	1	0	8	32
FRYL	0	36	0	1	891	1782	15	1	1	NA	1	0	1	36
FRZB	0	4	0	2	50.82	101.64	15	1	1	NA	1	0	2	4
FSBP	0	3	0	0	91.74	183.48	15	1	1	NA	1	NA	0	3
FSCN1	0	1	0	1	41.25	82.5	15	1	1	NA	1	0	1	1
FSCN2	1	1	1	1	30.03	60.06	15	1	1	0	1	0	2	2
FSD2	9	9	0	0	270.93	541.86	15	1	1	NA	1	NA	0	18
FSHB	1	2	0	0	42.24	84.48	15	1	1	NA	1	NA	0	3
FST	0	3	0	0	65.01	130.02	15	1	1	NA	1	NA	0	3
FSTL4	5	10	2	3	199.98	399.96	15	1	1	-0.333333333333333	1	-0.0666666666666667	5	15
FSTL5	3	6	1	0	194.37	388.74	15	1	0.4	-Inf	1	-0.666666666666667	1	9
FTCD	4	10	1	2	149.16	298.32	15	1	1	-0.25	1	-0.0476190476190476	3	14
FTL	2	2	0	0	59.07	118.14	15	1	1	NA	1	NA	0	4
FTO	8	5	0	0	194.7	389.4	15	1	1	NA	1	NA	0	13
FTSJ3	6	10	2	1	146.52	293.04	15	1	0.545923632610939	-2.33333333333333	1	-0.291666666666667	3	16
FUBP1	0	7	0	0	198	396	15	1	1	NA	1	NA	0	7
FUBP3	1	5	1	0	152.46	304.92	15	1	0.285714285714286	-Inf	1	-0.833333333333333	1	6
FUCA1	2	6	0	0	102.3	204.6	15	1	1	NA	1	NA	0	8
FUCA2	6	5	0	0	130.02	260.04	15	1	1	NA	1	NA	0	11
FUNDC1	0	1	0	1	28.38	56.76	15	1	1	NA	1	0	1	1
FUNDC2	1	1	1	0	26.73	53.46	15	1	1	-Inf	1	-0.5	1	2
FUT10	2	7	0	0	135.3	270.6	15	1	1	NA	1	NA	0	9
FUT11	3	6	1	0	111.87	223.74	15	1	0.4	-Inf	1	-0.666666666666667	1	9
FUT4	1	1	0	0	59.07	118.14	15	1	1	NA	1	NA	0	2
FUT7	5	8	0	0	102.96	205.92	15	1	1	NA	1	NA	0	13
FUT8	1	2	0	0	97.02	194.04	15	1	1	NA	1	NA	0	3
FUT9	0	4	0	1	115.17	230.34	15	1	1	NA	1	0	1	4
FXN	3	1	0	0	35.31	70.62	15	1	1	NA	1	NA	0	4
FXR1	0	10	0	1	177.54	355.08	15	1	1	NA	1	0	1	10
FXYD6	2	0	0	0	53.79	107.58	15	1	1	NA	1	NA	0	2
FYB	11	9	0	1	185.13	370.26	15	1	0.476190476190476	1	1	0.55	1	20
FYCO1	23	13	5	0	469.26	938.52	15	1	0.15957742080977	-Inf	1	-0.361111111111111	5	36
FYN	3	3	3	2	166.98	333.96	15	1	1	-0.5	1	-0.1	5	6
FYTTD1	1	3	0	0	105.27	210.54	15	1	1	NA	1	NA	0	4
FYTTD1L	4	2	2	0	87.78	175.56	15	1	1	-Inf	1	-0.333333333333333	2	6
FZD1	1	9	0	1	140.25	280.5	15	1	1	1	1	0.1	1	10
FZD10	0	2	0	0	149.49	298.98	15	1	1	NA	1	NA	0	2
FZD3	1	7	0	3	181.17	362.34	15	1	1	1	1	0.125	3	8
FZD4	0	4	0	0	190.41	380.82	15	1	1	NA	1	NA	0	4
FZD5	1	5	0	1	79.2	158.4	15	1	1	1	1	0.166666666666667	1	6
FZD6	4	14	1	0	275.22	550.44	15	1	0.263157894736842	-Inf	1	-0.777777777777778	1	18
FZD7	0	9	0	0	94.71	189.42	15	1	1	NA	1	NA	0	9
FZD8	0	5	0	1	103.29	206.58	15	1	1	NA	1	0	1	5
FZD9	1	11	0	0	152.79	305.58	15	1	1	NA	1	NA	0	12
FZR1	0	5	0	1	116.16	232.32	15	1	1	NA	1	0	1	5
G0S2	0	3	0	1	27.72	55.44	15	1	1	NA	1	0	1	3
G2E3	5	7	0	0	251.13	502.26	15	1	1	NA	1	NA	0	12
G3BP1	0	4	0	0	127.71	255.42	15	1	1	NA	1	NA	0	4
G3BP2	0	4	0	1	128.37	256.74	15	1	1	NA	1	0	1	4
G6PC	1	3	0	1	42.24	84.48	15	1	1	1	1	0.25	1	4
G6PC2	1	3	0	1	122.1	244.2	15	1	1	1	1	0.25	1	4
GAA	4	5	2	1	102.96	205.92	15	1	1	-1.5	1	-0.222222222222222	3	9
GAAGSD	5	10	1	2	144.54	289.08	15	1	1	0	1	0	3	15
GAB2	8	13	0	3	187.77	375.54	15	1	0.525691699604743	1	1	0.380952380952381	3	21
GAB3	1	6	0	3	114.18	228.36	15	1	1	1	1	0.142857142857143	3	7
GABBR2	2	2	0	0	128.7	257.4	15	1	1	NA	1	NA	0	4
GABPA	0	6	0	0	124.41	248.82	15	1	1	NA	1	NA	0	6
GABPB1	0	4	0	1	160.05	320.1	15	1	1	NA	1	0	1	4
GABPB2	6	5	0	1	109.56	219.12	15	1	1	1	1	0.545454545454545	1	11
GABRA1	2	3	1	0	76.56	153.12	15	1	1	-Inf	1	-0.6	1	5
GABRA2	0	2	0	0	99.99	199.98	15	1	1	NA	1	NA	0	2
GABRA3	0	6	0	1	154.77	309.54	15	1	1	NA	1	0	1	6
GABRA4	0	2	0	0	153.12	306.24	15	1	1	NA	1	NA	0	2
GABRA6	0	6	0	2	74.25	148.5	15	1	1	NA	1	0	2	6
GABRD	0	4	0	1	161.04	322.08	15	1	1	NA	1	0	1	4
GABRE	0	7	0	1	164.67	329.34	15	1	1	NA	1	0	1	7
GABRG1	1	1	1	0	155.1	310.2	15	1	1	-Inf	1	-0.5	1	2
GABRP	3	7	1	1	113.85	227.7	15	1	1	-1.33333333333333	1	-0.2	2	10
GABRR1	1	6	1	2	137.61	275.22	15	1	1	-2	1	-0.19047619047619	3	7
GABRR2	3	7	1	0	175.89	351.78	15	1	0.363636363636364	-Inf	1	-0.7	1	10
GABRR3	2	6	1	1	167.31	334.62	15	1	1	-2	1	-0.25	2	8
GAD1	1	7	0	2	164.34	328.68	15	1	1	1	1	0.125	2	8
GAD2	0	6	0	1	156.42	312.84	15	1	1	NA	1	0	1	6
GADD45G	1	1	1	1	17.16	34.32	15	1	1	0	1	0	2	2
GADL1	1	3	0	0	136.29	272.58	15	1	1	NA	1	NA	0	4
GAK	12	11	0	1	243.21	486.42	15	1	1	1	1	0.521739130434783	1	23
GAL3ST2	9	10	0	1	192.72	385.44	15	1	1	1	1	0.473684210526316	1	19
GAL3ST4	6	9	2	2	168.63	337.26	15	1	1	-0.5	1	-0.1	4	15
GALC	1	6	0	1	211.53	423.06	15	1	1	1	1	0.142857142857143	1	7
GALE	0	5	0	0	27.72	55.44	15	1	1	NA	1	NA	0	5
GALK1	4	6	1	0	73.92	147.84	15	1	0.454545454545455	-Inf	1	-0.6	1	10
GALK2	1	3	0	0	125.07	250.14	15	1	1	NA	1	NA	0	4
GALM	1	4	1	1	53.46	106.92	15	1	1	-3	1	-0.3	2	5
GALNT1	0	6	0	0	138.6	277.2	15	1	1	NA	1	NA	0	6
GALNT10	0	10	0	1	200.97	401.94	15	1	1	NA	1	0	1	10
GALNT11	0	13	0	3	220.11	440.22	15	1	1	NA	1	0	3	13
GALNT12	2	5	1	0	150.15	300.3	15	1	0.375	-Inf	1	-0.714285714285714	1	7
GALNT13	3	17	1	2	158.4	316.8	15	1	0.452851496329757	-1.83333333333333	1	-0.183333333333333	3	20
GALNT14	4	10	2	0	198.66	397.32	15	1	0.125	-Inf	1	-0.714285714285714	2	14
GALNT15	8	12	2	2	204.93	409.86	15	1	1	-0.5	1	-0.1	4	20
GALNT16	0	5	0	1	170.61	341.22	15	1	1	NA	1	0	1	5
GALNT2	2	6	2	0	167.31	334.62	15	1	0.133333333333333	-Inf	1	-0.75	2	8
GALNT3	8	5	1	0	180.18	360.36	15	1	1	-Inf	1	-0.384615384615385	1	13
GALNT5	1	12	0	2	121.11	242.22	15	1	1	1	1	0.0769230769230769	2	13
GALNT7	2	5	1	0	197.34	394.68	15	1	0.375	-Inf	1	-0.714285714285714	1	7
GALNT9	3	10	0	3	217.47	434.94	15	1	1	1	1	0.230769230769231	3	13
GALNTL6	0	5	0	0	133.65	267.3	15	1	1	NA	1	NA	0	5
GALR1L	5	7	0	1	113.85	227.7	15	1	1	1	1	0.416666666666667	1	12
GALR2	2	0	1	0	43.23	86.46	15	1	1	NA	1	0	1	2
GALR3	6	4	0	2	111.54	223.08	15	1	0.454545454545454	1	1	0.6	2	10
GAN	0	8	0	1	198.99	397.98	15	1	1	NA	1	0	1	8
GANC	3	7	0	1	241.23	482.46	15	1	1	1	1	0.3	1	10
GAP43	2	7	2	4	79.2	158.4	15	1	1	-0.75	1	-0.111111111111111	6	9
GAPDH	0	9	0	8	119.13	238.26	15	1	1	NA	1	0	8	9
