gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
OLFR52I1L	15	14	5	7	312.84000000000003	625.6800000000001	15	2
OLIG2	0	8	2	4	282.15000000000003	564.3000000000001	15	2
OPHN1	1	25	3	8	761.97	1523.94	15	2
OPN3	5	9	2	7	392.04	784.08	15	2
OPN5	5	11	0	2	354.42	708.84	15	2
OPN5L1	12	16	1	3	438.57	877.14	15	2
OPN5L2	2	14	0	2	345.51	691.02	15	2
OPRK1	3	14	0	0	378.18	756.36	15	2
OPRM1	4	20	0	3	485.1	970.2	15	2
OPTN	18	23	2	1	551.4300000000001	1102.8600000000001	15	2
OR10AC1	12	20	3	10	359.7	719.4	15	2
OR51M1L	13	16	4	7	316.8	633.6	15	2
OR52B2	5	12	3	8	321.75	643.5	15	2
OR52R1-OR52R1L1-OR52R1L2-OR52R1L3	5	5	2	0	115.17	230.34	15	2
ORC3	15	23	1	8	708.84	1417.68	15	2
ORC5	13	27	3	10	498.96000000000004	997.9200000000001	15	2
OSBPL10	6	24	2	11	689.37	1378.74	15	2
OSBPL1A	32	61	6	13	1236.51	2473.02	15	2
OSBPL3	6	32	3	4	841.5	1683	15	2
OSBPL8	4	28	2	8	857.34	1714.68	15	2
OSR1	0	11	1	0	258.39	516.78	15	2
OSR2	1	7	0	2	297.99	595.98	15	2
OSTM1	3	15	4	6	306.90000000000003	613.8000000000001	15	2
OTC	14	13	9	3	351.45	702.9	15	2
OTOF	20	81	16	42	2075.7000000000003	4151.4000000000005	15	2
OTOR	3	3	0	0	131.67000000000002	263.34000000000003	15	2
OTUD1	3	10	5	1	348.48	696.96	15	2
OTX1	0	4	0	2	330.66	661.32	15	2
OVOL2	4	12	2	3	261.36	522.72	15	2
OVST	59	66	12	8	1586.64	3173.28	15	2
OVSTL	68	52	3	10	1428.5700000000002	2857.1400000000003	15	2
OXGR1	12	23	4	2	340.56	681.12	15	2
OXGR1L	7	16	0	2	320.76	641.52	15	2
OXNAD1	9	11	3	3	313.83000000000004	627.6600000000001	15	2
OXR1	12	24	3	3	826.6500000000001	1653.3000000000002	15	2
OXSM	6	19	1	1	457.38	914.76	15	2
OXSR1	2	26	2	5	522.72	1045.44	15	2
P2RY10	3	13	0	2	335.61	671.22	15	2
P2RY2	1	13	3	6	354.42	708.84	15	2
P2RY6	1	14	1	6	325.71000000000004	651.4200000000001	15	2
P2RY8	4	18	0	2	354.42	708.84	15	2
P3H3	14	46	7	9	1052.04	2104.08	15	2
P4HA3	13	19	7	8	530.64	1061.28	15	2
PAAF1	2	2	0	2	104.28	208.56	15	2
PABPC1	0	17	0	4	631.62	1263.24	15	2
PACRG	14	7	1	1	281.49	562.98	15	2
PACSIN2	4	13	2	2	461.34000000000003	922.6800000000001	15	2
PAH	2	22	1	1	442.53000000000003	885.0600000000001	15	2
PAK1IP1	10	17	1	4	372.24	744.48	15	2
PAK5	6	33	1	10	715.77	1431.54	15	2
PANX1	3	11	1	10	429.66	859.32	15	2
PANX2	30	50	9	7	928.62	1857.24	15	2
PAPD7	1	12	3	3	652.08	1304.16	15	2
PAPOLG	26	25	4	4	734.9100000000001	1469.8200000000002	15	2
PAQR8	5	30	3	6	349.47	698.94	15	2
PARD3	15	30	10	5	1295.91	2591.82	15	2
PARD6G	6	17	1	2	317.79	635.58	15	2
PARK2	8	0	1	1	157.41	314.82	15	2
PARP12	20	19	3	1	662.3100000000001	1324.6200000000001	15	2
PARP4	38	36	17	13	1221.99	2443.98	15	2
PARVG	15	14	0	1	319.77000000000004	639.5400000000001	15	2
PAWR	4	7	1	0	192.06	384.12	15	2
PAX1	0	15	1	1	209.55	419.1	15	2
PAXBP1	4	12	3	3	851.07	1702.14	15	2
PAXIP1	6	51	2	7	1080.75	2161.5	15	2
PBK	7	15	3	2	165	330	15	2
PCBP2	1	7	2	2	417.45000000000005	834.9000000000001	15	2
PCCA	4	11	2	2	392.04	784.08	15	2
PCDH17	6	47	0	4	957.6600000000001	1915.3200000000002	15	2
PCDH20	17	46	6	4	911.46	1822.92	15	2
PCDH8	7	64	5	9	989.01	1978.02	15	2
PCDH9	8	35	1	1	1003.86	2007.72	15	2
PCID2	2	20	0	5	360.36	720.72	15	2
PCLO	88	130	6	14	4273.17	8546.34	15	2
PCMT1	1	2	0	1	250.47	500.94	15	2
PCMTD1	0	12	0	1	355.41	710.82	15	2
PCNP	1	4	0	1	178.20000000000002	356.40000000000003	15	2
PCNX2	34	74	12	14	1887.93	3775.86	15	2
PCSK2	6	30	3	7	648.7800000000001	1297.5600000000002	15	2
PCTPL	9	20	2	8	260.37	520.74	15	2
PCYT1B	0	14	0	3	334.29	668.58	15	2
PDCD2	14	15	0	5	369.27000000000004	738.5400000000001	15	2
PDCD6	1	5	1	2	154.44	308.88	15	2
PDCD6IP	9	31	3	6	835.89	1671.78	15	2
PDCL3	1	9	1	1	238.59	477.18	15	2
PDE10A	3	17	2	4	722.37	1444.74	15	2
PDE1C	21	8	2	2	528.66	1057.32	15	2
PDE3A	34	37	0	1	996.6	1993.2	15	2
PDE6H	0	3	0	3	85.14	170.28	15	2
PDE7A	1	9	1	2	402.93	805.86	15	2
PDE7B	2	7	0	1	437.25	874.5	15	2
PDE9A	2	14	0	3	513.8100000000001	1027.6200000000001	15	2
PDGFB	2	12	1	7	249.48000000000002	498.96000000000004	15	2
PDGFD	3	15	1	1	348.48	696.96	15	2
PDHA1	0	12	0	1	394.02000000000004	788.0400000000001	15	2
PDIA4	6	25	0	1	640.2	1280.4	15	2
PDK3	0	10	0	1	367.95000000000005	735.9000000000001	15	2
PDK4	1	13	0	2	417.78000000000003	835.5600000000001	15	2
PDS5B	2	50	2	6	1400.8500000000001	2801.7000000000003	15	2
PDSS1	0	9	0	3	333.63	667.26	15	2
PDSS2	12	11	6	0	195.69	391.38	15	2
PDX1	3	8	2	2	251.13000000000002	502.26000000000005	15	2
PDXK	2	12	0	1	334.29	668.58	15	2
PDXP	1	1	1	2	297.99	595.98	15	2
PDZD11	0	5	0	3	139.59	279.18	15	2
PDZK1	16	20	2	2	514.8000000000001	1029.6000000000001	15	2
PENK	1	7	2	1	265.32	530.64	15	2
PERP1	3	8	0	2	188.10000000000002	376.20000000000005	15	2
PERP2	3	6	1	2	195.03	390.06	15	2
PEX1	32	44	6	3	1215.72	2431.44	15	2
PEX13	9	11	2	0	394.02000000000004	788.0400000000001	15	2
PEX2	12	14	0	1	301.95	603.9	15	2
PEX26	14	17	3	0	292.71000000000004	585.4200000000001	15	2
PEX3	2	9	0	2	366.3	732.6	15	2
PEX5	11	19	4	6	636.24	1272.48	15	2
PEX7	2	10	3	3	277.86	555.72	15	2
PFKFB3	3	40	2	4	513.48	1026.96	15	2
PFKP	3	26	0	3	829.62	1659.24	15	2
PGAP2	2	9	1	5	248.49	496.98	15	2
PGBD5	2	20	1	3	561.99	1123.98	15	2
PGM2L1	2	24	5	4	253.44	506.88	15	2
PGM3	7	34	3	6	537.57	1075.14	15	2
PGR	13	29	0	3	792.99	1585.98	15	2
PHACTR1	11	20	1	1	514.14	1028.28	15	2
PHACTR2	10	18	5	4	624.36	1248.72	15	2
PHB2	1	6	0	2	276.21000000000004	552.4200000000001	15	2
PHC1	19	30	4	6	1027.6200000000001	2055.2400000000002	15	2
PHEX	6	17	3	3	799.59	1599.18	15	2
PHF10	8	9	1	1	526.35	1052.7	15	2
PHF14	0	14	0	2	535.59	1071.18	15	2
PHF20L1	1	17	1	1	1003.86	2007.72	15	2
PHF3	55	63	13	8	2044.3500000000001	4088.7000000000003	15	2
PHIP	7	41	2	6	1618.65	3237.3	15	2
PHKA2	5	65	4	15	1193.94	2387.88	15	2
PHLDA1	0	3	0	1	152.46	304.92	15	2
PHLDB2	7	52	0	4	1320.66	2641.32	15	2
PHLPP1-PHLPP2	2	3	1	1	135.63	271.26	15	2
PHTF2	7	27	0	4	692.01	1384.02	15	2
PHYH	6	19	0	3	338.58000000000004	677.1600000000001	15	2
PI15	4	12	0	0	266.97	533.94	15	2
PIANP	5	12	1	6	280.5	561	15	2
PIBF1	13	24	2	4	581.46	1162.92	15	2
PICALM	3	19	0	4	699.6	1399.2	15	2
PICK1	3	31	2	3	405.90000000000003	811.8000000000001	15	2
PIEZO2	23	79	0	7	2608.98	5217.96	15	2
PIGA	4	17	4	5	461.34000000000003	922.6800000000001	15	2
PIGF	8	4	0	0	144.21	288.42	15	2
PIGM	27	29	4	4	418.77000000000004	837.5400000000001	15	2
PIGP	3	6	0	0	133.65	267.3	15	2
PIK3C2G	64	33	4	6	1040.49	2080.98	15	2
PIK3CG	9	52	1	9	1175.13	2350.26	15	2
PIK3R4	11	53	4	6	1350.03	2700.06	15	2
PIM3	0	20	0	1	320.76	641.52	15	2
PINX1	22	22	2	4	405.90000000000003	811.8000000000001	15	2
PIP4K2A	7	9	7	7	495.99	991.98	15	2
PITRM1	14	48	2	4	1023.6600000000001	2047.3200000000002	15	2
PKDCCA	1	6	1	0	366.96000000000004	733.9200000000001	15	2
PKHD1	193	181	24	13	3725.7000000000003	7451.4000000000005	15	2
PKIB	2	3	0	0	152.46	304.92	15	2
PKNOX1	0	4	0	0	316.8	633.6	15	2
PKP2	21	42	1	3	838.5300000000001	1677.0600000000002	15	2
PLA1A	20	14	3	1	452.43	904.86	15	2
PLA2G10L	5	8	7	5	156.42000000000002	312.84000000000003	15	2
PLA2G6	15	30	6	11	798.9300000000001	1597.8600000000001	15	2
PLA2G7	4	15	4	2	321.75	643.5	15	2
PLAG1	0	2	0	1	496.98	993.96	15	2
PLAGL1	7	18	1	2	772.2	1544.4	15	2
PLBD1	4	20	4	8	540.5400000000001	1081.0800000000002	15	2
PLCB1	2	31	3	8	1137.51	2275.02	15	2
PLCB4	6	35	1	7	1270.17	2540.34	15	2
PLCD1	6	15	0	4	772.2	1544.4	15	2
PLCL2	10	26	1	1	1025.64	2051.28	15	2
PLCXD1	7	14	2	2	333.63	667.26	15	2
PLCXD2	3	14	1	4	336.27000000000004	672.5400000000001	15	2
PLCZ1	9	17	1	2	746.13	1492.26	15	2
PLEK	5	9	0	5	350.46000000000004	700.9200000000001	15	2
PLEKHA5	19	40	4	1	1145.43	2290.86	15	2
PLEKHA8	5	13	3	1	412.5	825	15	2
PLEKHB1	0	3	1	2	71.94	143.88	15	2
PLEKHF2	2	13	0	5	247.5	495	15	2
PLEKHG1	30	71	11	3	1580.04	3160.08	15	2
PLG	23	34	1	3	794.97	1589.94	15	2
PLGL	27	27	3	5	834.57	1669.14	15	2
PLXDC2	15	12	2	2	382.47	764.94	15	2
PLXNA4	8	20	3	2	491.04	982.08	15	2
PLXNB2	29	62	2	8	1858.23	3716.46	15	2
PLXNC1	34	45	5	10	1484.67	2969.34	15	2
PM20D2	5	10	4	0	435.6	871.2	15	2
PMCH	11	7	1	0	244.86	489.72	15	2
PMM1	1	12	0	4	254.43	508.86	15	2
PMPCB	6	25	3	9	483.12	966.24	15	2
PNISR	5	16	3	3	812.13	1624.26	15	2
PNLDC1	21	21	7	1	529.65	1059.3	15	2
PNO1	6	9	0	1	234.63000000000002	469.26000000000005	15	2
PNOC	6	7	5	8	193.05	386.1	15	2
PNPLA3	18	24	0	0	501.93	1003.86	15	2
PNPLA8	16	41	3	1	796.95	1593.9	15	2
PNPT1	11	27	1	2	723.0300000000001	1446.0600000000002	15	2
PODXL	44	31	12	7	552.75	1105.5	15	2
POGLUT1	6	11	3	8	393.03000000000003	786.0600000000001	15	2
POLA1	34	59	13	13	1512.39	3024.78	15	2
POLD3	9	29	9	4	460.35	920.7	15	2
POLDIP3	1	20	1	2	413.82	827.64	15	2
POLH	21	30	8	7	685.08	1370.16	15	2
POLQ	17	24	5	5	485.43	970.86	15	2
POLR1B	10	68	8	15	1114.41	2228.82	15	2
POLR1C	3	13	0	6	343.53000000000003	687.0600000000001	15	2
POLR2F	0	5	0	4	126.72	253.44	15	2
POLR3B	3	50	0	11	1134.54	2269.08	15	2
POLR3F	1	18	2	3	311.85	623.7	15	2
POLR3H	3	6	1	2	204.93	409.86	15	2
POMC	5	6	0	4	246.18	492.36	15	2
POMGNT2	7	25	3	9	573.21	1146.42	15	2
POMP	9	7	0	0	140.58	281.16	15	2
PON2	11	17	3	0	327.36	654.72	15	2
POP1	25	39	7	4	970.86	1941.72	15	2
POPDC2	4	20	6	3	354.42	708.84	15	2
POPDC3	3	7	2	1	302.94	605.88	15	2
POT1	38	33	5	6	809.82	1619.64	15	2
POU1F1	6	7	0	0	342.21000000000004	684.4200000000001	15	2
POU2F1	2	6	0	4	747.45	1494.9	15	2
POU3F2	5	2	0	0	211.86	423.72	15	2
POU3F3	5	1	1	1	274.89	549.78	15	2
POU6F2	1	10	0	0	377.19	754.38	15	2
PP2D1	59	46	6	0	748.44	1496.88	15	2
PPARA	5	11	0	1	464.31	928.62	15	2
PPEF1	39	35	2	6	662.97	1325.94	15	2
PPFIA2	30	56	4	2	1123.65	2247.3	15	2
PPFIBP1	21	34	3	1	1120.02	2240.04	15	2
PPIL4	3	21	2	5	476.19	952.38	15	2
PPIL6	16	10	6	3	294.03000000000003	588.0600000000001	15	2
PPM1G	0	3	0	0	28.380000000000003	56.760000000000005	15	2
PPM1H	7	22	1	3	463.32000000000005	926.6400000000001	15	2
PPME1	0	23	0	3	306.57	613.14	15	2
PPP1CB	0	7	0	3	324.72	649.44	15	2
PPP1R14C	15	2	1	3	223.74	447.48	15	2
PPP1R17	1	6	0	0	157.41	314.82	15	2
PPP1R21	8	22	2	6	738.5400000000001	1477.0800000000002	15	2
PPP1R3A	68	34	5	3	1167.21	2334.42	15	2
PPP1R3G	4	10	2	2	282.15000000000003	564.3000000000001	15	2
PPP1R42	12	11	3	0	306.90000000000003	613.8000000000001	15	2
PPP1R9A	2	20	6	4	861.63	1723.26	15	2
PPP2R3B	1	10	1	2	509.85	1019.7	15	2
PPP2R5A	4	10	1	4	460.68	921.36	15	2
PPP2R5D	2	18	0	8	447.15000000000003	894.3000000000001	15	2
PPP3R1	0	5	0	0	168.96	337.92	15	2
PPP4R1	10	31	4	4	939.51	1879.02	15	2
PPP4R3B	4	29	0	0	766.26	1532.52	15	2
PQLC1	1	6	2	1	267.96000000000004	535.9200000000001	15	2
PRCP	22	26	16	17	540.87	1081.74	15	2
PRDM1	3	21	0	6	782.1	1564.2	15	2
PRDM13	5	22	2	3	469.26000000000005	938.5200000000001	15	2
PRDM14	9	29	0	4	505.89000000000004	1011.7800000000001	15	2
PRDM4	10	39	0	9	788.0400000000001	1576.0800000000002	15	2
PRDX4	4	8	2	3	270.27000000000004	540.5400000000001	15	2
PRELID3A	0	7	0	1	191.07000000000002	382.14000000000004	15	2
PREP	3	34	3	2	700.9200000000001	1401.8400000000001	15	2
PREX2	10	38	1	4	1395.9	2791.8	15	2
PRKAG1-PRKAG2	1	7	1	1	327.69	655.38	15	2
PRKAR2B	1	16	0	0	307.89	615.78	15	2
PRKCE	0	12	0	1	601.9200000000001	1203.8400000000001	15	2
PRKCQ	1	25	2	2	707.85	1415.7	15	2
PRKDC	109	191	31	16	4082.4300000000003	8164.860000000001	15	2
PRKX	0	9	2	1	360.36	720.72	15	2
PRL	1	11	0	0	224.73000000000002	449.46000000000004	15	2
PRLL	7	9	1	1	253.44	506.88	15	2
PRMT8	1	2	2	7	181.17000000000002	362.34000000000003	15	2
PROKR2	2	22	1	4	394.02000000000004	788.0400000000001	15	2
PRORSD1P	1	11	0	0	143.55	287.1	15	2
PROS1	9	28	1	5	647.13	1294.26	15	2
PROSER1	2	23	1	4	930.6	1861.2	15	2
PROSER2	18	26	4	4	453.42	906.84	15	2
PROX1	0	2	0	1	162.36	324.72	15	2
PROZ	8	24	3	5	403.92	807.84	15	2
PRPF18	1	16	0	2	339.57	679.14	15	2
PRPF4B	6	33	1	6	983.4000000000001	1966.8000000000002	15	2
PRPH2	2	8	1	2	351.45	702.9	15	2
PRR15	6	3	0	1	116.82000000000001	233.64000000000001	15	2
PRR5	8	17	3	0	399.96000000000004	799.9200000000001	15	2
PRRG1	2	7	0	3	258.39	516.78	15	2
PRSS23	1	13	1	0	369.27000000000004	738.5400000000001	15	2
PRSS55	17	11	0	3	349.47	698.94	15	2
PRTFDC1	2	6	2	0	227.70000000000002	455.40000000000003	15	2
PSCA	18	6	1	0	119.79	239.58	15	2
PSEN2	4	20	0	8	454.41	908.82	15	2
PSMB1	3	11	0	2	237.60000000000002	475.20000000000005	15	2
PSMC2	0	21	0	2	429.66	859.32	15	2
PSME4	2	60	2	6	1705.77	3411.54	15	2
PSMG1	10	12	2	3	288.09000000000003	576.1800000000001	15	2
PSMG2	7	13	2	3	271.26	542.52	15	2
PSMG4	0	2	0	3	104.61	209.22	15	2
PSPC1	5	12	1	0	573.21	1146.42	15	2
PTCHD1	0	12	1	1	889.0200000000001	1778.0400000000002	15	2
PTCHD3-PTCHD3L	70	50	12	5	828.3000000000001	1656.6000000000001	15	2
PTCHD4	2	15	0	1	552.4200000000001	1104.8400000000001	15	2
PTDSS1	1	15	0	0	469.26000000000005	938.5200000000001	15	2
PTER	8	16	5	0	346.5	693	15	2
PTF1A	4	3	1	0	240.57000000000002	481.14000000000004	15	2
PTGFRN	18	49	7	5	895.95	1791.9	15	2
PTH1R	1	8	0	6	528.33	1056.66	15	2
PTHLH	5	10	1	1	176.22	352.44	15	2
PTN	0	4	0	1	164.34	328.68	15	2
PTP4A1	1	1	1	0	172.26000000000002	344.52000000000004	15	2
PTP4A3	0	4	0	2	172.26000000000002	344.52000000000004	15	2
PTPN12	13	24	6	5	817.74	1635.48	15	2
PTPN14	5	16	4	0	607.2	1214.4	15	2
PTPN2	2	11	2	3	373.89000000000004	747.7800000000001	15	2
PTPN23	16	77	9	33	1118.3700000000001	2236.7400000000002	15	2
PTPN6	6	37	0	3	601.9200000000001	1203.8400000000001	15	2
PTPRB	32	74	4	9	1947.99	3895.98	15	2
PTPRM	0	18	0	3	443.52000000000004	887.0400000000001	15	2
PTPRN2	9	14	0	2	365.31	730.62	15	2
PTPRO	20	39	5	5	1280.0700000000002	2560.1400000000003	15	2
PTPRQ	148	201	35	21	5497.47	10994.94	15	2
PTPRR	4	16	4	1	517.77	1035.54	15	2
PTPRZ1	37	50	5	3	2228.82	4457.64	15	2
PTRHD1	6	5	2	4	117.81	235.62	15	2
PTTG1IP	6	15	0	1	357.39000000000004	714.7800000000001	15	2
PUDP	4	5	0	3	193.38	386.76	15	2
PUF60	0	22	1	6	525.69	1051.38	15	2
PUM2	1	21	1	2	980.1	1960.2	15	2
PUS10	13	30	0	4	578.82	1157.64	15	2
PUS7L	13	22	11	6	627.6600000000001	1255.3200000000002	15	2
PVALB	0	2	1	0	109.89	219.78	15	2
PWP1	6	23	2	4	482.13	964.26	15	2
PWP2	12	38	8	9	900.24	1800.48	15	2
PXDC1	0	8	0	4	208.56	417.12	15	2
PXDN	8	44	3	10	1507.44	3014.88	15	2
PYGB	5	38	6	23	835.5600000000001	1671.1200000000001	15	2
PYROXD1	11	21	1	3	495	990	15	2
QKI	0	5	0	1	291.72	583.44	15	2
QRSL1	7	25	4	0	505.89000000000004	1011.7800000000001	15	2
QTRT2	16	15	1	3	415.47	830.94	15	2
RAB10	0	6	0	2	198.99	397.98	15	2
RAB10L	4	5	1	0	280.17	560.34	15	2
RAB12	0	1	0	3	242.22	484.44	15	2
RAB18	0	12	1	2	204.93	409.86	15	2
RAB19	1	8	1	8	213.84	427.68	15	2
RAB1B	0	3	0	0	196.35000000000002	392.70000000000005	15	2
RAB20	0	6	1	3	228.69	457.38	15	2
RAB21	1	10	1	3	222.75	445.5	15	2
RAB23	1	5	0	2	235.62	471.24	15	2
RAB2A	0	7	0	2	210.87	421.74	15	2
RAB30	0	9	0	6	198	396	15	2
RAB31	1	4	0	0	194.04000000000002	388.08000000000004	15	2
RAB32	1	6	1	2	216.81	433.62	15	2
RAB38	7	7	2	2	260.37	520.74	15	2
RAB39A	1	7	0	0	255.42000000000002	510.84000000000003	15	2
RAB3GAP2	16	64	2	5	1300.8600000000001	2601.7200000000003	15	2
RAB3IP	1	9	0	3	457.38	914.76	15	2
RAB41	1	13	1	0	273.24	546.48	15	2
RAB41-RAB6A	0	6	0	0	169.95000000000002	339.90000000000003	15	2
RAB4A	0	5	0	3	185.79000000000002	371.58000000000004	15	2
RAB5A	0	6	0	0	213.84	427.68	15	2
RAB9A	2	11	0	1	199.98000000000002	399.96000000000004	15	2
RABL2L	5	4	3	1	178.20000000000002	356.40000000000003	15	2
RAC2	0	3	0	3	191.07000000000002	382.14000000000004	15	2
RAD21	1	23	0	3	627.6600000000001	1255.3200000000002	15	2
RAD51AP2	43	15	1	0	549.12	1098.24	15	2
RAD52	13	22	4	0	415.8	831.6	15	2
RAI2	8	27	2	25	543.51	1087.02	15	2
RALA	0	4	0	1	204.93	409.86	15	2
RALBP1	2	29	1	9	648.45	1296.9	15	2
RALGAPA2	24	63	4	13	1826.5500000000002	3653.1000000000004	15	2
RALYL	6	9	0	1	384.45000000000005	768.9000000000001	15	2
RAMP3	2	9	1	0	155.43	310.86	15	2
RANBP9	0	15	1	2	551.76	1103.52	15	2
RAP1B	0	2	0	0	183.15	366.3	15	2
RAP2A	0	2	0	0	182.16	364.32	15	2
RAPGEF5	3	27	2	6	668.25	1336.5	15	2
RARA-RARB	2	14	0	2	401.94	803.88	15	2
RARS2	18	26	7	5	536.25	1072.5	15	2
RASA3	11	40	4	7	879.12	1758.24	15	2
RASD2	1	11	0	1	264.33	528.66	15	2
RASGRP3	2	28	1	8	667.26	1334.52	15	2
RASL11A	1	5	1	7	234.63000000000002	469.26000000000005	15	2
RASSF3	6	7	0	4	236.61	473.22	15	2
RASSF9	8	11	1	0	415.8	831.6	15	2
RB1	11	27	1	5	595.98	1191.96	15	2
RBBP7	3	15	3	5	420.75	841.5	15	2
RBFA	26	20	1	5	333.63	667.26	15	2
RBFOX2	8	5	2	3	396	792	15	2
RBKS	3	4	4	0	306.90000000000003	613.8000000000001	15	2
RBM11	11	9	0	5	270.27000000000004	540.5400000000001	15	2
RBM17	1	15	1	4	398.97	797.94	15	2
RBM24	1	9	1	2	223.74	447.48	15	2
RBM33	12	55	0	5	1134.54	2269.08	15	2
RBM34	19	19	7	6	386.1	772.2	15	2
RBM48	19	21	5	1	353.43	706.86	15	2
RBP5	1	10	0	0	134.64000000000001	269.28000000000003	15	2
RBX1	0	5	0	0	107.58	215.16	15	2
RCAN1	2	10	1	1	233.64000000000001	467.28000000000003	15	2
RCAN2	0	9	0	1	196.02	392.04	15	2
RCBTB1	6	24	2	8	568.26	1136.52	15	2
RCBTB2	1	30	0	5	546.48	1092.96	15	2
RCSD1	16	21	1	5	390.06	780.12	15	2
RD3	7	10	3	1	241.56	483.12	15	2
RDH10	1	17	0	2	336.6	673.2	15	2
RDH14	4	14	1	0	323.73	647.46	15	2
RDX	2	18	0	5	578.1600000000001	1156.3200000000002	15	2
RECK	7	38	1	3	965.25	1930.5	15	2
RECQL	19	30	1	1	655.38	1310.76	15	2
REL	13	34	2	6	577.1700000000001	1154.3400000000001	15	2
RELN	22	125	9	11	2985.84	5971.68	15	2
REPS1	26	26	1	6	902.5500000000001	1805.1000000000001	15	2
RERG	7	15	0	1	227.70000000000002	455.40000000000003	15	2
REV1	10	31	1	3	1089.99	2179.98	15	2
REV3L	72	110	20	20	3408.57	6817.14	15	2
RFC3	1	13	1	0	353.43	706.86	15	2
RFTN1	12	25	8	2	580.14	1160.28	15	2
RFX4	8	23	2	3	763.2900000000001	1526.5800000000002	15	2
RFX6	11	21	4	1	862.2900000000001	1724.5800000000002	15	2
RFX8	21	18	2	1	533.61	1067.22	15	2
RFXAP	3	11	3	5	217.47	434.94	15	2
RGN	6	19	2	2	297	594	15	2
RGNL	7	9	4	2	297.99	595.98	15	2
RGS17	1	5	0	0	188.10000000000002	376.20000000000005	15	2
RGS20	1	7	0	1	217.8	435.6	15	2
RGS22	50	47	16	2	1345.41	2690.82	15	2
RHAG	16	12	0	2	422.73	845.46	15	2
RHNO1	23	23	7	6	263.67	527.34	15	2
RHOB	0	14	0	6	195.03	390.06	15	2
RHOG	0	6	1	1	190.08	380.16	15	2
RHOQ	1	1	0	2	202.95000000000002	405.90000000000003	15	2
RHOU	0	3	0	3	196.35000000000002	392.70000000000005	15	2
RHPN1	11	25	4	15	656.7	1313.4	15	2
RIBC2	19	6	1	2	379.17	758.34	15	2
RIDA	0	3	0	0	138.6	277.2	15	2
RIMKLB	3	9	1	3	338.91	677.82	15	2
RIMS1	9	14	3	2	689.0400000000001	1378.0800000000002	15	2
RIMS2	16	45	3	7	1497.8700000000001	2995.7400000000002	15	2
RIN2	18	28	0	4	914.76	1829.52	15	2
RINT1	16	46	4	3	1156.3200000000002	2312.6400000000003	15	2
RIOK1	16	25	5	6	556.38	1112.76	15	2
RIOK3	6	17	0	6	513.8100000000001	1027.6200000000001	15	2
RIPK1	19	49	6	5	685.08	1370.16	15	2
RIPK4	3	32	4	8	782.1	1564.2	15	2
RIPPLY3	4	3	1	0	130.68	261.36	15	2
RMDN1	3	13	0	0	273.24	546.48	15	2
RMDN2	15	14	5	2	412.83000000000004	825.6600000000001	15	2
RMND1	7	22	0	1	442.53000000000003	885.0600000000001	15	2
RNASEH1	15	20	1	0	348.48	696.96	15	2
RNASEH2B	6	7	2	1	281.16	562.32	15	2
RNF121	1	25	0	5	291.39	582.78	15	2
RNF138	1	3	0	1	230.01000000000002	460.02000000000004	15	2
RNF139	15	43	1	8	688.0500000000001	1376.1000000000001	15	2
RNF144A	10	14	1	0	337.59000000000003	675.1800000000001	15	2
RNF144B	6	16	2	0	271.26	542.52	15	2
RNF149	0	15	1	5	400.95000000000005	801.9000000000001	15	2
RNF151	1	15	0	4	286.11	572.22	15	2
RNF152	1	8	1	10	201.96	403.92	15	2
RNF169	23	27	8	23	649.44	1298.88	15	2
RNF17	97	73	9	10	1535.8200000000002	3071.6400000000003	15	2
RNF19A	8	55	7	6	804.87	1609.74	15	2
RNF217	1	11	1	1	252.45000000000002	504.90000000000003	15	2
RNF219	9	27	2	1	679.47	1358.94	15	2
RNF32	14	9	2	2	366.3	732.6	15	2
RNF6	24	39	2	11	683.1	1366.2	15	2
RNF8	7	18	3	3	494.01000000000005	988.0200000000001	15	2
RNGTT	0	21	0	5	592.35	1184.7	15	2
RNMT	8	13	2	2	388.08000000000004	776.1600000000001	15	2
ROBO2	5	19	1	4	784.08	1568.16	15	2
ROCK1	25	44	6	13	1449.69	2899.38	15	2
ROPN1L	8	12	3	3	216.81	433.62	15	2
ROS1	97	82	8	8	2303.73	4607.46	15	2
RP1L1	91	78	17	12	1664.19	3328.38	15	2
RP2	4	10	3	0	358.38	716.76	15	2
RP9	6	6	1	0	239.25	478.5	15	2
RPA3	4	3	0	1	121.77000000000001	243.54000000000002	15	2
RPAP3	20	28	3	4	663.3000000000001	1326.6000000000001	15	2
RPF2	1	20	0	2	303.93	607.86	15	2
RPL14	4	8	0	3	153.45000000000002	306.90000000000003	15	2
RPL15	0	7	0	2	202.95000000000002	405.90000000000003	15	2
RPL18A	0	8	0	1	175.23000000000002	350.46000000000004	15	2
RPL24	2	2	0	2	154.77	309.54	15	2
RPL3	0	24	1	4	399.96000000000004	799.9200000000001	15	2
RPL30	0	5	0	3	114.84	229.68	15	2
RPL31	0	8	0	2	124.74000000000001	249.48000000000002	15	2
RPL7	3	13	1	2	237.60000000000002	475.20000000000005	15	2
RPL8	0	15	0	3	255.42000000000002	510.84000000000003	15	2
RPLP1	1	7	0	2	113.85000000000001	227.70000000000002	15	2
RPRD1A	19	18	2	3	401.94	803.88	15	2
RPS11	0	15	0	3	157.41	314.82	15	2
RPS12	1	4	0	1	135.63	271.26	15	2
RPS16	1	7	0	4	145.53	291.06	15	2
